,scores
1447,-2608.0
1448,998817.0
1449,999159.0
1450,999160.0
1451,999486.0
1452,999790.0
1453,999783.0
1454,999018.0
1455,998368.0
1456,-2794.0
1457,999769.0
1458,999424.0
1459,999755.0
1460,999790.0
1461,998138.0
1462,999110.0
1463,998838.0
1464,998901.0
1465,998495.0
1466,998887.0
1467,999783.0
1468,998208.0
1469,999486.0
1470,998167.0
1471,998432.0
1472,999319.0
1473,999790.0
1474,999166.0
1475,998937.0
1476,999742.0
1477,999306.0
1478,999513.0
1479,998797.0
1480,999791.0
1481,998838.0
1482,998665.0
1483,998330.0
1484,998408.0
1485,999790.0
1486,999486.0
1487,999727.0
1488,999266.0
1489,999442.0
1490,999790.0
1491,999361.0
1492,997815.0
1493,999021.0
1494,999431.0
1495,999756.0
1496,999741.0
1497,999549.0
1498,999783.0
1499,999695.0
1500,-2680.0
1501,998530.0
1502,-2806.0
1503,998842.0
1504,999747.0
1505,999497.0
1506,999783.0
1507,998460.0
1508,999728.0
1509,999741.0
1510,998719.0
1511,999774.0
1512,999755.0
1513,999417.0
1514,998980.0
1515,999790.0
1516,998586.0
1517,999494.0
1518,999202.0
1519,999769.0
1520,998831.0
1521,999486.0
1522,999769.0
1523,998425.0
1524,998772.0
1525,999435.0
1526,998208.0
1527,999312.0
1528,998705.0
1529,998600.0
1530,999410.0
1531,998886.0
1532,-2466.0
1533,999438.0
1534,998664.0
1535,998250.0
1536,999765.0
1537,998775.0
1538,999790.0
1539,998726.0
1540,998166.0
1541,999568.0
1542,998614.0
1543,998831.0
1544,998152.0
1545,999769.0
1546,-2404.0
1547,997690.0
1548,999762.0
1549,999508.0
1550,999450.0
1551,999425.0
1552,999741.0
1553,-1234.0
1554,998406.0
1555,999756.0
1556,998915.0
1557,999489.0
1558,999783.0
1559,998649.0
1560,-1028.0
1561,-2632.0
1562,997984.0
1563,999367.0
1564,998579.0
1565,999739.0
1566,999783.0
1567,998955.0
1568,999753.0
1569,-2066.0
1570,999755.0
1571,999424.0
1572,999621.0
1573,999048.0
1574,999501.0
1575,999681.0
1576,998558.0
1577,999762.0
1578,999636.0
1579,999664.0
1580,998594.0
1581,998170.0
1582,998634.0
1583,999612.0
1584,999680.0
1585,999632.0
1586,998460.0
1587,-2780.0
1588,999455.0
1589,999776.0
1590,999493.0
1591,999592.0
1592,999790.0
1593,999367.0
1594,-413.0
1595,998474.0
1596,999741.0
1597,998852.0
1598,998873.0
1599,998843.0
1600,-2788.0
1601,998425.0
1602,999205.0
1603,998642.0
