,scores
1582,-93.0
1583,-83.0
1584,-112.0
1585,-94.0
1586,-77.0
1587,-70.0
1588,-79.0
1589,-109.0
1590,-78.0
1591,-79.0
1592,-120.0
1593,-82.0
1594,-92.0
1595,-95.0
1596,-98.0
1597,-88.0
1598,-65.0
1599,-87.0
1600,-102.0
1601,-64.0
1602,-123.0
1603,-102.0
1604,-78.0
1605,-77.0
1606,-89.0
1607,-95.0
1608,-93.0
1609,-93.0
1610,-111.0
1611,-89.0
1612,-86.0
1613,-74.0
1614,-81.0
1615,-75.0
1616,-78.0
1617,-89.0
1618,-92.0
1619,-75.0
1620,-85.0
1621,-86.0
1622,-223.0
1623,-85.0
1624,-90.0
1625,-101.0
1626,-92.0
1627,-106.0
1628,-85.0
1629,-82.0
1630,-93.0
1631,-96.0
1632,-89.0
1633,-89.0
1634,-80.0
1635,-62.0
1636,-68.0
1637,-98.0
1638,-99.0
1639,-77.0
1640,-86.0
1641,-94.0
1642,-98.0
1643,-103.0
1644,-79.0
1645,-98.0
1646,-87.0
1647,-90.0
1648,-100.0
1649,-84.0
1650,-81.0
1651,-81.0
1652,-95.0
1653,-76.0
1654,-65.0
1655,-117.0
1656,-103.0
1657,-86.0
1658,-100.0
1659,-85.0
1660,-61.0
1661,-109.0
1662,-83.0
1663,-87.0
1664,-106.0
1665,-101.0
1666,-82.0
1667,-84.0
1668,-103.0
1669,-95.0
1670,-93.0
1671,-91.0
1672,-93.0
1673,-93.0
1674,-75.0
1675,-83.0
1676,-74.0
1677,-126.0
1678,-74.0
1679,-93.0
1680,-90.0
1681,-104.0
1682,-87.0
1683,-77.0
1684,-70.0
1685,-70.0
1686,-87.0
1687,-94.0
1688,-64.0
1689,-154.0
1690,-101.0
1691,-103.0
1692,-101.0
1693,-85.0
1694,-85.0
1695,-63.0
1696,-141.0
1697,-76.0
1698,-97.0
1699,-115.0
1700,-87.0
1701,-90.0
1702,-183.0
1703,-159.0
1704,-86.0
1705,-75.0
1706,-69.0
1707,-171.0
1708,-87.0
1709,-82.0
1710,-100.0
1711,-107.0
1712,-84.0
1713,-95.0
1714,-97.0
1715,-90.0
1716,-90.0
1717,-98.0
1718,-193.0
1719,-69.0
1720,-128.0
1721,-72.0
1722,-97.0
1723,-83.0
1724,-87.0
1725,-66.0
1726,-81.0
1727,-77.0
1728,-74.0
1729,-93.0
1730,-86.0
1731,-77.0
1732,-170.0
1733,-89.0
1734,-115.0
1735,-88.0
1736,-68.0
1737,-93.0
1738,-75.0
1739,-83.0
1740,-95.0
1741,-94.0
1742,-83.0
1743,-98.0
1744,-82.0
1745,-79.0
1746,-73.0
1747,-78.0
1748,-64.0
1749,-101.0
1750,-68.0
1751,-134.0
1752,-107.0
1753,-75.0
1754,-92.0
1755,-108.0
1756,-100.0
1757,-71.0
1758,-98.0
1759,-179.0
1760,-89.0
1761,-88.0
1762,-93.0
1763,-89.0
1764,-93.0
1765,-100.0
1766,-64.0
1767,-86.0
1768,-67.0
1769,-169.0
1770,-129.0
1771,-100.0
1772,-100.0
1773,-94.0
1774,-99.0
1775,-86.0
1776,-101.0
1777,-79.0
1778,-84.0
1779,-102.0
1780,-80.0
1781,-100.0
1782,-101.0
1783,-213.0
1784,-141.0
1785,-83.0
1786,-88.0
1787,-94.0
1788,-75.0
1789,-71.0
1790,-137.0
1791,-77.0
1792,-131.0
1793,-79.0
1794,-89.0
1795,-89.0
1796,-84.0
1797,-105.0
1798,-95.0
1799,-87.0
1800,-118.0
